provider_id,name,geography_level,province,dguid,population,population_year,portal_url,portal_license_name,portal_license_url,contact,notes
,Town of Huntsville,,ON,,,,https://huntsville-muskoka.opendata.arcgis.com/,,,,
,Huron County,,ON,,,,https://data-huron.opendata.arcgis.com/,,,,
,City of Kawartha Lakes,,ON,,,,https://open-data-kawartha.hub.arcgis.com/,,,,
,City of Kingston,,ON,,,,https://opendatakingston.cityofkingston.ca/,,,,
,City of Kitchener,,ON,,,,https://open-kitchenergis.opendata.arcgis.com/,,,,
,Lake Simco​e Region Conservation Authority,,ON,,,,https://lsrca-open-data-camaps.opendata.arcgis.com/,,,,
,County of Lambton,,ON,,,,https://county-lambton.opendata.arcgis.com/,,,,
,United Counties of Leeds and Grenville,,ON,,,,https://geohub-uclg.hub.arcgis.com/,,,,
,County of Lennox & Addington,,ON,,,,https://open-data-hub-lennoxaddington.hub.arcgis.com/,,,,
,City of London,,ON,,,,https://opendata.london.ca/,,,,
,City of Markham,,ON,,,,http://data-markham.opendata.arcgis.com/,,,,
,Municipality of McDougall,,ON,,,,https://mcdougall-hub-wpsgn.hub.arcgis.com/,,,,
,County of Middlesex,,ON,,,,https://data-middlesex.opendata.arcgis.com/,,,,
,Town of Milton,,ON,,,,https://discover-milton.hub.arcgis.com/,,,,
,City of Mississauga,,ON,,,,https://data.mississauga.ca/,,,,
,District Municipality of Muskoka,,ON,,,,https://map.muskoka.on.ca/,,,,
,Town of Newmarket,,ON,,,,https://navigate-newmarket.hub.arcgis.com/pages/open-data,,,,
,Regional Municipality of Niagara,,ON,,,,https://niagaraopendata.ca/,,,,
,City of Niagara Falls,,ON,,,,https://open.niagarafalls.ca/,,,,
,Norfolk County,,ON,,,,https://opendata.norfolkcounty.ca/,,,,
,City of North Bay,,ON,,,,https://data-northbaygis.hub.arcgis.com/,,,,
,Town of Oakville,,ON,,,,https://portal-exploreoakville.opendata.arcgis.com/,,,,
,Town of Orangeville,,ON,,,,https://data.orangeville.ca/,,,,
,City of Oshawa,,ON,,,,https://city-oshawa.opendata.arcgis.com/,,,,
,City of Ottawa,,ON,,,,https://open.ottawa.ca/,,,,
,Oxford County,,ON,,,,https://public-oxfordcounty.opendata.arcgis.com/,,,,
,Peel Region,,ON,,,,https://data.peelregion.ca/,,,,
,City of Peterborough,,ON,,,,https://data-ptbo.opendata.arcgis.com/,,,,
,City of Pickering,,ON,,,,https://opendata.pickering.ca/,,,,
,Quinte Conservation,,ON,,,,https://data.quinteconservation.ca/,,,,
,City of Quinte West,,ON,,,,https://geodata-quintewest.opendata.arcgis.com/,,,,
,City of Sarnia,,ON,,,,https://city-of-sarnia.hub.arcgis.com/,,,,
,Seguin Township,,ON,,,,https://seguin-data-hub-wpsgn.hub.arcgis.com/,,,,
,City of Sault Ste. Marie,,ON,,,,https://cityssm.github.io/,,,,
,County of Simcoe,,ON,,,,https://opengis.simcoe.ca/public/,,,,
,Town of Tecumseh,,ON,,,,https://tecumseh-essexcounty.opendata.arcgis.com/,,,,
,City of Thunder Bay,,ON,,,,https://opendata.thunderbay.ca/,,,,
,City of Toronto,,ON,,,,https://open.toronto.ca/,,,,
,Region of Waterloo,,ON,,,,https://rowopendata-rmw.opendata.arcgis.com/,,,,
,City of Waterloo,,ON,,,,https://data.waterloo.ca/,,,,
,City of Welland,,ON,,,,https://open.welland.ca/,,,,
,West Parry Sound Geography Network,,ON,,,,https://data-wpsgn.opendata.arcgis.com/,,,,
,Town of Whitby,,ON,,,,https://geohub-whitby.hub.arcgis.com/,,,,
,City of Windsor,,ON,,,,https://opendata.citywindsor.ca/,,,,
,Township of Woolwich,,ON,,,,https://woolwich-geohub-woolwich.hub.arcgis.com/,,,,
,York Region,,ON,,,,https://insights-york.opendata.arcgis.com/,,,,
,Government of Manitoba,province,MB,,,,https://geoportal.gov.mb.ca/,,,,
