checked,provider_id,portal_url,source_url,name,geography_level,province,checked_date,source_ids,notes
,ab_edmonton,https://data.edmonton.ca/,https://data.edmonton.ca/Transportation-Infrastructure/Bike-Routes/vd4b-a4iv,City of Edmonton,municipality,AB,,ab_edmonton_cycling,"from 2023 CCND vintage, needs re-verification"
,ab_grande_prairie_2,https://opendata-cityofgp.hub.arcgis.com/,,City of Grande Prairie,municipality,AB,,,
,ab_lethbridge,https://opendata.lethbridge.ca/,,City of Lethbridge,municipality,AB,,,
,ab_medicine_hat,https://www.medicinehat.ca/en/business-and-development/maps-and-gis.aspx,,City of Medicine Hat,municipality,AB,,,
,ab_red_deer,https://data.reddeer.ca/datasets,,City of Red Deer,municipality,AB,,,
,ab_st_albert,https://data.stalbert.ca/,,City of St. Albert,municipality,AB,,,
,ab_parkland_county,https://opendata.parklandcounty.com/,,Parkland County,municipality,AB,,,
,ab_wood_buffalo,,,Regional Municipality of Wood Buffalo,municipality,AB,,,
,ab_strathcona_county,https://data.strathcona.ca/,,Strathcona County,municipality,AB,,,
,ab_sturgeon_county,https://data-sturgeoncounty.opendata.arcgis.com/,,Sturgeon County,municipality,AB,,,
,ab_banff,https://maps.banff.ca/opendata/,,Town of Banff,municipality,AB,,,
,ab_canmore,https://opendata-canmore.opendata.arcgis.com/,,Town of Canmore,municipality,AB,,,
,ab_cochrane,https://geohub.cochrane.ca/,,Town of Cochrane,municipality,AB,,,
,ab_high_river,https://highriver-hrmdf.hub.arcgis.com/,,Town of High River,municipality,AB,,,
,ab_okotoks,https://okotoksmaps-okotoks.hub.arcgis.com/pages/open-data-portal,,Town of Okotoks,municipality,AB,,,
,bc_abbotsford,https://opendata-abbotsford.hub.arcgis.com/,https://opendata-abbotsford.hub.arcgis.com/datasets/Abbotsford::cycling-routes/explore,City of Abbotsford,municipality,BC,,bc_abbotsford_cycling,"from 2021 CCND vintage, needs re-verification"
,bc_burnaby,https://data.burnaby.ca/,https://data.burnaby.ca/datasets/burnaby::bike-trails/explore,City of Burnaby,municipality,BC,,bc_burnaby_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_campbell_river,https://data-crcc.opendata.arcgis.com/,https://data-crcc.opendata.arcgis.com/datasets/090691684a21480aa859654821aae349/explore,City of Campbell River,municipality,BC,,bc_campbell_river_cycling,"from 2018 CCND vintage, needs re-verification"
,bc_chilliwack,https://www.chilliwack.com/main/page.cfm?id=2331,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=139,City of Chilliwack,municipality,BC,,bc_chilliwack_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_coquitlam,https://data.coquitlam.ca/,https://data.coquitlam.ca/datasets/Coquitlam::cycling-routes/about,City of Coquitlam,municipality,BC,,bc_coquitlam_cycling,"from 2021 CCND vintage, needs re-verification"
,bc_courtenay,https://data-courtenay.opendata.arcgis.com/,https://data-courtenay.opendata.arcgis.com/datasets/Courtenay::cycling-network-plan/explore,City of Courtenay,municipality,BC,,bc_courtenay_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_cranbrook,https://cranbrook-open-data-cranbrook.hub.arcgis.com/,,City of Cranbrook,municipality,BC,,,
,bc_delta,https://www.delta.ca/city-hall/municipal-information/open-data-catalogue,,City of Delta,municipality,BC,,,
,bc_grand_forks,https://opendata.grandforks.ca/,,City of Grand Forks,municipality,BC,,,
,bc_kamloops,https://mydata-kamloops.opendata.arcgis.com/,https://mydata-kamloops.opendata.arcgis.com/datasets/3dff112559bc4fcda83a3a36e75b63ac_13/explore?location=50.725351%2C-120.315129%2C11.91,City of Kamloops,municipality,BC,,bc_kamloops_cycling,"from 2023 CCND vintage, needs re-verification"
,bc_kelowna,https://opendata.kelowna.ca/,https://opendata.kelowna.ca/datasets/active-transportation-network/about,City of Kelowna,municipality,BC,,bc_kelowna_cycling,"from 2021 CCND vintage, needs re-verification"
,bc_langley,https://data-langleycity.opendata.arcgis.com/,https://data-langleycity.opendata.arcgis.com/datasets/3480ae6d305045139d4cd27a5d004492_157/explore,City of Langley,municipality,BC,,bc_langley_cycling,"from 2022 CCND vintage, needs re-verification"
